
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 28.02.22-01:32:33#
0, -124.1928497463704
1, -63.698593682848106
2, -36.269954560654725
3, -18.340605354461417
4, -9.073259722583266
5, -20.201896788650785
6, -12.246905012038471
7, -10.69842536315685
8, -6.088371176095628
9, -16.00492628819597
10, -5.196146907508769
11, -6.305841641053141
12, -5.00033175941932
13, -12.637144960060434
14, -6.904811872746523
15, -7.915206538686956
16, -16.871748026723914
17, -17.74647380816244
18, -3.3806021429402984
19, -8.288542951354415
20, -8.195441304266957
21, -17.030110206281517
22, -4.619459075105247
23, -6.026637332755663
24, -4.259065309833736
25, -1.2710232695667043
26, -1.0849083451564447
27, -1.3620328755444537
28, -0.2658580225300556
29, -6.009605133759193
30, -5.283313326842814
31, -1.5729269404223825
32, -1.6968281239458824
33, -4.9269313917208795
34, -4.333384922363681
35, -0.07278142085521087
36, -8.372100245498196
37, -6.930995800689592
38, -0.6886665906158014
39, -15.163284656966646
40, -4.050252177484654
41, -12.078632700228484
42, -8.387368199619118
43, -1.5534705167763037
44, -0.5988918983178327
45, -4.392830842649351
46, -11.253778309568752
47, -1.583325977083626
48, -6.00789144690931
49, -5.35172737634962
50, -0.3750872982318545
51, -9.25018070053494
52, -11.264362889602376
53, -7.287510565703559
54, -1.3769915490750204
55, -1.549939634335982
56, -0.3408378855114392
57, -0.3237496680616283
58, -25.28167933829834
59, -7.438711777404705
60, -4.054347515817088
61, -2.293301281247843
62, -1.0010958432225687
63, -1.005159077486137
64, -9.23994780428847
65, -1.1504723126791587
66, -6.833161552478767
67, -1.9006288712159778
68, -5.1069693375156895
69, -4.357889795551197
70, -1.252464478310686
71, -5.549165432393487
72, -9.06942474141799
73, -5.63972637577495
74, -1.3171345978635352
75, -0.6230827826731832
76, -5.418426115803008
77, -0.30540864330212353
78, -9.445406996926852
79, -1.0013750381300952
80, -3.5752921191817983
81, -5.358044282565504
82, -7.114655712959356
83, -0.4762047393430566
84, -1.9000259567707551
85, -0.580642907455649
86, -8.331221345516179
87, -5.103639025967623
88, -1.036850290994281
89, -8.584368504526823
90, -5.8648628268403105
91, -2.2932310883367615
92, -9.506825521739637
93, -9.320443664623044
94, -1.109070437020514
95, -5.6869187736309845
96, -10.072923796692118
97, -5.681771983328727
98, -6.3187379237571815
99, -1.3143227214941646
100, -10.285480027795268
