
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 28.02.22-01:32:33#
0, -398.7140909414394
1, -273.9841171783137
2, -290.341218038925
3, -311.62975689459216
4, -112.07782410946149
5, -389.14963235354884
6, -389.8071783608975
7, -389.82265015200494
8, -389.15565548125954
9, -392.23806022683505
10, -398.4265315473624
11, -399.20660825342884
12, -398.94975223180063
13, -399.1351378161615
14, -398.8522292210051
15, -399.21727869118814
16, -399.78228124520825
17, -399.8890695224237
18, -100.05547677686079
19, -399.8898315191491
20, -399.889821729682
21, -399.98748111796334
22, -101.57484827312372
23, -399.79137076596015
24, -399.9988608516679
25, -100.00629162665989
26, -100.00628268531867
27, -100.00209378801577
28, -25.00009405425679
29, -399.99657212069565
30, -399.9998622020997
31, -100.00628590453027
32, -100.00056381667326
33, -399.9996237783025
34, -399.99680347254633
35, -1.5625209520386556
36, -399.999761159692
37, -399.9998552244375
38, -25.04901435077844
39, -399.9999709750767
40, -399.99997108050076
41, -399.9999741215934
42, -399.9999741216014
43, -100.00001450627227
44, -25.000001409024918
45, -399.9999629486416
46, -399.9999947247923
47, -100.0000129377448
48, -399.99997412159587
49, -399.99997412160127
50, -25.00000606563672
51, -399.9999757138031
52, -399.99997573713665
53, -399.99999948045087
54, -100.00000025982004
55, -100.000002817592
56, -25.00000606109528
57, -25.00001332972957
58, -399.99999948618
59, -399.99997562103965
60, -399.9999994858169
61, -100.00000175811047
62, -100.00000021034396
63, -100.00000026273042
64, -399.99999957931294
65, -100.00000025690959
66, -399.9999994600313
67, -100.00009555625505
68, -399.9999995793101
69, -100.02441574143975
70, -100.00000000106951
71, -399.90234933309273
72, -398.41461190960075
73, -399.9999996255151
74, -100.00305196813615
75, -28.22265634947247
76, -100.02527415320121
77, -25.000762963270862
78, -399.98779306010704
79, -100.00000003599361
80, -100.00000000117126
81, -399.9999999984081
82, -399.9999999982259
83, -25.393688702425724
84, -100.00152588506907
85, -25.0015259025873
86, -399.99999850710964
87, -399.99999998820755
88, -100.00000000025047
89, -399.8047113300797
90, -399.9999999994864
91, -100.78277587924964
92, -399.9999999998595
93, -399.9999940393973
94, -100.00000000007063
95, -224.99999999880586
96, -399.9999999998616
97, -399.9999999998235
98, -399.99999701962724
99, -100.00000000002615
100, -399.99999999986215
