
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 28.02.22-01:32:33#
0, -398.7140909414394
1, -273.9841171783137
2, -290.341218038925
3, -311.62975689459216
4, -112.07782410946149
5, -389.14963235354884
6, -389.8071783608975
7, -389.82265015200494
8, -389.15565548125954
9, -392.23806022683505
10, -398.4265315473624
11, -399.20660825342884
12, -398.94975223180063
13, -399.1351378161615
14, -398.8522292210051
15, -399.21727869118814
16, -399.78228124520825
17, -399.8890695224237
18, -100.05547677686079
19, -399.8898315191491
20, -399.889821729682
21, -399.98748111796334
22, -101.57484827312372
23, -399.79137076596015
24, -399.9988608516679
25, -100.00629162665989
26, -100.00628268531867
27, -100.00209378801577
28, -25.00009405425679
29, -399.99657212069565
30, -399.9998622020997
31, -100.00628590453027
32, -100.00056381667326
33, -399.9996237783025
34, -399.99680347254633
35, -1.5625209520386556
36, -399.999761159692
37, -399.9998552244375
38, -25.04901435077844
39, -399.9999709750767
40, -399.99997108050076
41, -399.9999741215934
42, -399.9999741216014
43, -100.00001450627227
44, -25.000001409024918
45, -399.9999629486416
46, -399.9999947247923
47, -100.0000129377448
48, -399.99997412159587
49, -399.99997412160127
50, -25.00000606563672
51, -399.9999757138031
52, -399.99997573713665
53, -399.99999948045087
54, -100.00000025982004
55, -100.000002817592
56, -25.00000606109528
57, -25.00001332972957
58, -399.99999948618
59, -399.99997562103965
60, -399.9999994858169
61, -100.00000175811047
62, -100.00000021034396
63, -100.00000026273042
64, -399.99999957931294
65, -100.00000025690959
66, -399.9999994600313
67, -100.00009555625505
68, -399.9999995793101
69, -100.02441574143975
70, -100.00000000106951
71, -399.90234933309273
72, -398.41461190960075
73, -399.9999996255151
74, -100.00305196813615
75, -28.22265634947247
76, -100.02527415320121
77, -25.000762963270862
78, -399.98779306010704
79, -100.00000003599361
80, -100.00000000117126
81, -399.9999999984081
82, -399.9999999982259
83, -25.393688702425724
84, -100.00152588506907
85, -25.0015259025873
86, -399.99999850710964
87, -399.99999998820755
88, -100.00000000025047
89, -399.8047113300797
90, -399.9999999994864
91, -100.78277587924964
92, -399.9999999998595
93, -399.9999940393973
94, -100.00000000007063
95, -224.99999999880586
96, -399.9999999998616
97, -399.9999999998235
98, -399.99999701962724
99, -100.00000000002615
100, -399.99999999986215
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 01.03.22-20:48:14#
0, -40.83312120156724
1, -33.59341637748123
2, -29.180540591000785
3, -19.568781456951097
4, -25.916127818462108
5, -14.51788221542734
6, -23.761762289991037
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 01.03.22-20:50:39#
0, -24.047601486349365
1, -20.14357371804972
2, -24.623919385780635
3, -20.79107373475118
4, -21.588327686325265
5, -21.506992265954775
6, -24.045093508469037
7, -24.81728781266844
8, -1.6389044501597423
9, -1.6068324990105864
10, -6.340465811920545
11, -1.5832204291113576
12, -1.5704830071861975
13, -24.917456518533214
14, -0.4010193363164369
15, -6.267292023750564
16, -0.3944759258055876
17, -6.265372966176916
18, -6.262318738248754
19, -9.770555676074913
20, -1.5652362277019733
21, -24.969282019892894
22, -1.5644727136489673
23, -24.99363923350235
24, -0.09814690737721939
25, -6.302116906833869
26, -24.992161424181617
27, -1.5629707853759438
28, -24.99744971453353
29, -6.251250114605482
30, -24.99822156127007
31, -6.2508652603765515
32, -1.5629437170824156
33, -24.998978521792008
34, -24.999753184810537
35, -1.563125355816522
36, -6.250120521743882
37, -24.999798074352416
38, -24.999747781711378
39, -24.999797888093973
40, -0.0061046227013465395
41, -24.999787434032367
42, -24.999787456960593
43, -24.999941071290007
44, -24.21864477117778
45, -24.99980496559412
46, -24.999935111776242
47, -24.999808134784278
48, -24.999782793455505
49, -24.803478503854333
50, -1.5625054646219323
51, -1.56250579149489
52, -0.001525993158261227
53, -24.999997296945335
54, -1.5625058371516358
55, -24.999986866158487
56, -0.006106701489542985
57, -0.3906268162183996
58, -24.999985470277675
59, -24.99998686613485
60, -1.5625006758547098
61, -24.99923436335422
62, -24.902436514785265
63, -24.999985377473635
64, -0.3906253436117347
65, -0.15258810174260481
66, -24.999999624342184
67, -0.3913885454089054
68, -24.999998134408184
69, -6.274438902388901
70, -24.999998134408195
71, -6.2500001877371565
72, -6.250000932795249
73, -1.5655533417071434
74, -0.09765673908356871
75, -24.999999627434512
76, -24.99999999773543
77, -6.250000024409754
78, -0.09918811297537979
79, -1.5625000936870328
80, -24.999999858082518
81, -6.250000186321826
82, -24.99694814680209
83, -24.999999999976836
84, -24.999999813711966
85, -6.251526019379035
86, -6.2500002095593405
87, -1.5625000000058797
88, -24.99999999997648
89, -24.99998649428735
90, -0.3908157581493062
91, -1.5625000005519696
92, -0.09765644210968161
93, -24.99999999997647
94, -24.999999999975476
95, -6.250000000000395
96, -6.250000000011804
97, -24.999999999976897
98, -24.99999999988588
99, -24.999999626890244
100, -24.99999999997648
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 01.03.22-20:54:18#
0, -24.798942709131722
1, -22.340251965819398
2, -22.988888219543245
3, -19.969309965669996
4, -22.924877145189203
5, -7.911338789559617
6, -23.822919137332942
7, -22.988890898804435
8, -0.2751901143135441
9, -6.5040233936125444
10, -24.997092883312614
11, -24.997873800526452
12, -24.99804083395375
13, -1.5632231095002345
14, -24.998633794141487
15, -0.393995154480632
16, -24.998040741827943
17, -6.250672725098046
18, -1.5628421946351065
19, -24.999566633540127
20, -1.5625128007890894
21, -9.621574367719025e-05
22, -6.250025601554279
23, -1.5625128007890894
24, -0.0976833172852076
25, -24.99994879696902
26, -0.09765949677060091
27, -11.816354719910988
28, -24.999948890107213
29, -6.2500374541168275
30, -6.250025554985582
31, -24.999996597068375
32, -24.999567445489554
33, -24.999948913424014
34, -24.999996597079743
35, -1.562500850723612
36, -24.999999576160924
37, -6.250383177795651
38, -1.5625067188081205
39, -0.3906250528373829
40, -0.3906250528373829
41, -24.99694791127488
42, -6.250000211307613
43, -0.39067310474317807
44, -6.250000186431206
45, -24.99999575897306
46, -24.999999624149503
47, -0.09765627350240366
48, -2.441406366519504
49, -24.999999627137594
50, -24.99847377152574
51, -24.61090050895684
52, -24.999998133796282
53, -24.999999627143232
54, -24.9999994410548
55, -0.3906250003820211
