
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-20:48:14#
0, 0.006
1, 0.006
2, 0.006
3, 0.006
4, 0.006
5, 0.006
6, 0.006
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-20:50:39#
0, 0.006
1, 0.006
2, 0.006
3, 0.006
4, 0.006
5, 0.006
6, 0.006
7, 0.006
8, 0.006
9, 0.006
10, 0.006
11, 0.006
12, 0.006
13, 0.006
14, 0.006
15, 0.006
16, 0.006
17, 0.006
18, 0.006
19, 0.006
20, 0.006
21, 0.006
22, 0.006
23, 0.006
24, 0.006
25, 0.006
26, 0.006
27, 0.006
28, 0.006
29, 0.006
30, 0.006
31, 0.006
32, 0.006
33, 0.006
34, 0.006
35, 0.006
36, 0.006
37, 0.006
38, 0.006
39, 0.006
40, 0.006
41, 0.006
42, 0.006
43, 0.006
44, 0.006
45, 0.006
46, 0.006
47, 0.006
48, 0.006
49, 0.006
50, 0.006
51, 0.006
52, 0.006
53, 0.006
54, 0.006
55, 0.006
56, 0.006
57, 0.006
58, 0.006
59, 0.006
60, 0.006
61, 0.006
62, 0.006
63, 0.006
64, 0.006
65, 0.006
66, 0.006
67, 0.006
68, 0.006
69, 0.006
70, 0.006
71, 0.006
72, 0.006
73, 0.006
74, 0.006
75, 0.006
76, 0.006
77, 0.006
78, 0.006
79, 0.006
80, 0.006
81, 0.006
82, 0.006
83, 0.006
84, 0.006
85, 0.006
86, 0.006
87, 0.006
88, 0.006
89, 0.006
90, 0.006
91, 0.006
92, 0.006
93, 0.006
94, 0.006
95, 0.006
96, 0.006
97, 0.006
98, 0.006
99, 0.006
100, 0.006
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-20:54:18#
0, 4.515
1, 4.078
2, 3.657
3, 3.443
4, 3.729
5, 3.279
6, 3.149
7, 3.174
8, 4.121
9, 3.263
10, 3.407
11, 3.087
12, 2.964
13, 2.769
14, 2.756
15, 2.808
16, 2.797
17, 2.775
18, 2.798
19, 2.767
20, 2.726
21, 2.709
22, 2.705
23, 2.672
24, 2.684
25, 2.644
26, 2.687
27, 2.671
28, 2.751
29, 2.681
30, 2.669
31, 2.667
32, 2.672
33, 2.669
34, 2.693
35, 2.671
36, 2.681
37, 2.679
38, 2.654
39, 2.734
40, 2.67
41, 2.713
42, 2.621
43, 2.703
44, 2.7
45, 2.622
46, 2.703
47, 2.685
48, 2.659
49, 2.668
50, 2.716
51, 2.677
52, 2.679
53, 2.619
54, 2.712
55, 2.699
56, 2.666
57, 2.67
58, 2.713
59, 2.703
60, 2.658
61, 2.671
62, 2.681
63, 2.634
64, 2.7
65, 2.82
66, 2.701
67, 2.871
68, 2.66
69, 2.678
70, 2.657
71, 2.72
72, 2.648
73, 2.636
74, 2.686
75, 2.645
76, 2.666
77, 2.706
78, 2.699
79, 2.679
80, 2.691
81, 2.691
82, 2.68
83, 2.638
84, 2.696
85, 2.598
86, 2.712
87, 2.6
88, 2.692
89, 2.658
90, 2.663
91, 2.684
92, 2.695
93, 2.661
94, 2.686
95, 2.621
96, 2.715
97, 2.735
98, 2.66
99, 2.673
100, 2.671
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-21:00:59#
0, 24.764
1, 18.374
2, 16.503
3, 15.758
4, 24.145
5, 24.943
6, 23.015
7, 25.103
8, 16.651
9, 16.981
10, 17.92
11, 23.229
12, 23.273
13, 27.199
14, 26.55
15, 19.986
16, 15.29
17, 18.198
18, 19.969
19, 25.82
20, 18.629
21, 12.717
22, 17.103
23, 17.834
24, 23.397
25, 22.739
26, 24.105
27, 15.445
28, 20.892
29, 23.406
30, 20.536
31, 18.227
32, 18.794
33, 27.206
34, 26.046
35, 24.065
36, 22.056
37, 25.276
38, 20.271
39, 26.878
40, 15.795
41, 22.55
42, 17.048
43, 18.295
44, 19.442
45, 14.094
46, 28.182
47, 15.349
48, 20.508
49, 23.629
50, 23.938
51, 25.406
52, 23.881
53, 26.335
54, 22.72
55, 26.487
56, 11.868
57, 24.186
58, 19.308
59, 23.508
60, 15.756
61, 20.265
62, 22.008
63, 23.206
64, 21.7
65, 20.134
66, 15.307
67, 22.295
68, 22.496
69, 16.719
70, 26.015
71, 17.93
72, 16.704
73, 24.92
74, 26.163
75, 28.465
76, 28.891
77, 23.828
78, 20.505
79, 21.074
80, 13.678
81, 19.782
82, 17.084
83, 17.89
84, 23.871
85, 19.804
86, 13.593
87, 21.778
88, 24.09
89, 16.575
90, 24.896
91, 17.678
92, 23.724
93, 20.987
94, 17.627
95, 24.201
96, 10.693
97, 20.509
98, 18.726
99, 17.07
100, 24.384
