
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
0, -133.34753169764045
0, -121.20118926470269
0, -130.78946555709396
0, -128.30874003491544
0, -113.95340807564816
0, -119.44365860860046
0, -115.05325375598763
0, -125.4417437070545
0, -138.69660620967025
0, -130.44711212016094
1, -91.15628042796715
1, -79.74959910332157
1, -61.41007559274516
1, -77.85748412131916
1, -79.28373872104835
1, -66.96288110506255
1, -80.85435511103852
1, -63.05259214030379
1, -74.18439985896234
1, -67.46882255532336
2, -56.410008513858685
2, -49.351750978711515
2, -35.57505028527637
2, -50.12907143519192
2, -43.34449728578952
2, -31.662911013454956
2, -34.0486390725914
2, -40.52800428846215
2, -36.59487333843591
2, -44.10988610922393
3, -28.812982153385143
3, -28.863271060811513
3, -19.948827600572937
3, -13.212923292140017
3, -19.112885930538
3, -28.057740779280845
3, -19.235931923530067
3, -27.867420205269017
3, -24.90268286879771
3, -25.071280203415295
4, -14.226562856834361
4, -14.195651912178256
4, -16.597882906254867
4, -10.887755809920222
4, -17.18845574274578
4, -15.38565352704034
4, -12.13955523449422
4, -16.514004867519194
4, -15.22012156375982
4, -18.73848483892946
5, -14.294079380504499
5, -9.633161622850393
5, -13.557328463903062
5, -7.6343403766164135
5, -14.823851990723618
5, -8.979545717318867
5, -9.74173310056386
5, -9.92625775301019
5, -18.262483887211918
5, -11.214550767346154
6, -7.2436756172069785
6, -7.850288142994599
6, -11.818997657972213
6, -9.558793497361279
6, -8.026795817411651
6, -8.035964794095527
6, -11.919671791226044
6, -9.258519735239059
6, -11.111800437446071
6, -7.928693232581227
7, -6.08847093582691
7, -6.757966382202498
7, -8.321755632189838
7, -8.118591075832585
7, -5.513554808323513
7, -9.661942478421519
7, -8.70879163405887
7, -7.259434377833767
7, -8.77929211708419
7, -9.181727978871104
8, -6.788784066184501
8, -5.0346398427563885
8, -10.280556582760724
8, -8.890893037842238
8, -5.9520030500826975
8, -9.022489582228488
8, -10.293580206568567
8, -6.682609464238445
9, -6.8687099927474575
9, -6.170357629841122
8, -8.030818257305818
8, -6.473845445276718
9, -10.07312764385889
9, -4.366927433449047
9, -6.893446622119404
9, -8.707057520622932
9, -6.466336432148562
9, -8.192263568424767
10, -3.9240248478541924
9, -2.5668966650709133
10, -6.531664005488619
10, -2.3069894861967524
10, -9.549642102607763
9, -8.601442864937328
10, -9.536063883561756
10, -9.458126243993238
10, -7.884359630741245
11, -7.973183542930964
11, -11.183031335013172
10, -6.192009012650387
11, -8.292473691603389
11, -7.145173999000503
11, -4.062221113796176
10, -9.322753024522013
10, -5.47424084760193
11, -7.617465545627498
11, -5.631291822777963
12, -5.949959724001915
12, -6.631639065902621
12, -7.628761935885198
11, -7.055803135890169
12, -4.664221440590754
11, -3.6793283320385775
12, -8.565997311111303
11, -4.531911681377199
12, -4.134810788807571
13, -10.667581118153434
12, -6.310765779065846
13, -7.138257420482373
13, -8.782965593882253
13, -7.1783094400632965
12, -5.2757523202892616
13, -4.487054443785121
12, -9.58443483171513
12, -9.265680167486998
13, -7.573888349008962
14, -4.835455300330901
14, -5.685305423929962
13, -2.8336038466205893
13, -9.404481863378848
14, -10.784896548495071
14, -2.584752644217217
14, -6.6285492327494
13, -6.368479994343204
13, -10.279106837937599
14, -4.51069067364593
15, -3.3509230991209984
14, -4.8559627110189965
14, -4.925189650740688
15, -7.8660270283957745
15, -6.141327569517899
15, -5.36813886667259
15, -6.524262012806145
15, -2.943935428449665
14, -5.396101780266001
14, -5.865548876333097
