
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 09.03.22-20:01:44#
0, 2.571
0, 1.989
0, 3.341
0, 3.488
0, 3.577
0, 3.16
0, 3.695
0, 3.505
0, 3.609
0, 3.503
1, 5.509
1, 4.621
1, 3.797
1, 5.277
1, 5.256
1, 4.99
1, 3.877
1, 2.958
1, 2.982
1, 4.925
2, 2.165
2, 4.148
2, 3.918
2, 1.881
2, 4.2
2, 3.231
2, 3.798
2, 1.959
2, 3.827
2, 3.679
3, 3.727
3, 1.852
3, 3.273
3, 3.707
3, 3.507
3, 2.453
3, 3.089
3, 3.552
3, 2.227
3, 3.425
4, 2.4
4, 1.871
4, 2.56
4, 2.675
4, 3.493
4, 3.428
4, 3.392
4, 3.264
4, 3.302
4, 3.219
5, 1.618
5, 3.301
5, 3.296
5, 2.3
5, 3.201
5, 1.558
5, 2.67
5, 3.183
5, 2.201
5, 3.103
6, 2.385
6, 1.692
6, 3.119
6, 1.739
6, 2.118
6, 1.515
6, 2.991
6, 2.557
6, 3.102
6, 3.119
7, 2.504
7, 2.545
7, 2.642
7, 2.898
7, 2.89
7, 2.874
7, 1.471
7, 1.352
7, 2.727
7, 2.747
8, 2.797
8, 1.8
8, 2.378
8, 1.678
8, 2.414
8, 2.063
8, 2.655
8, 2.679
9, 2.067
9, 1.501
8, 2.778
8, 2.644
9, 1.482
9, 2.702
9, 2.159
9, 2.385
9, 2.63
9, 2.061
10, 2.539
9, 2.765
10, 1.262
10, 1.274
10, 2.516
9, 2.745
10, 2.681
10, 2.426
10, 2.561
11, 1.537
11, 1.906
10, 2.652
11, 1.989
11, 2.371
11, 1.491
10, 2.578
10, 2.522
11, 2.55
11, 2.528
12, 1.854
12, 1.471
12, 1.621
11, 2.452
12, 2.491
11, 2.517
12, 2.495
11, 1.907
12, 1.724
13, 1.266
12, 2.49
13, 2.47
13, 1.25
13, 1.676
12, 2.43
13, 2.525
12, 2.17
12, 1.39
13, 1.379
14, 1.258
14, 2.578
13, 1.232
13, 2.487
14, 2.482
14, 2.433
14, 2.518
13, 2.611
13, 1.726
14, 2.477
15, 2.463
14, 1.246
14, 2.583
15, 1.555
15, 2.557
15, 2.54
15, 2.471
15, 1.225
14, 2.484
14, 2.546
16, 1.695
15, 2.495
15, 2.557
16, 1.231
16, 2.474
16, 2.477
16, 2.459
17, 2.325
16, 2.51
15, 2.174
15, 2.485
16, 1.738
17, 1.399
16, 1.399
17, 2.517
17, 2.478
17, 2.226
18, 2.115
17, 2.502
17, 2.548
18, 2.167
16, 2.539
16, 2.529
17, 2.485
18, 1.261
18, 2.53
18, 2.457
18, 2.38
19, 1.896
19, 2.239
18, 1.45
17, 1.972
17, 2.305
19, 1.642
18, 2.158
19, 2.511
19, 2.472
19, 1.226
20, 1.454
20, 2.491
19, 1.687
18, 2.516
18, 2.011
20, 2.489
19, 1.372
20, 2.068
20, 2.492
20, 2.063
20, 2.466
21, 2.502
21, 2.466
20, 2.533
19, 1.358
21, 1.778
21, 2.395
19, 2.481
21, 1.223
22, 1.222
21, 2.492
21, 2.536
22, 2.545
22, 1.213
21, 2.373
20, 2.461
20, 2.464
22, 2.514
22, 1.346
22, 1.484
23, 2.475
22, 1.98
23, 2.534
23, 1.825
21, 2.441
21, 2.467
22, 2.089
23, 1.38
23, 1.95
23, 2.528
24, 2.065
23, 2.19
24, 2.219
24, 2.512
22, 2.466
24, 2.524
24, 1.399
22, 1.477
23, 2.431
25, 2.445
24, 2.327
25, 2.577
25, 2.466
24, 2.542
25, 2.089
23, 1.736
24, 2.095
25, 2.312
23, 1.91
26, 2.099
25, 2.581
26, 1.324
26, 1.228
25, 1.224
26, 2.465
26, 1.243
24, 2.344
25, 2.24
24, 2.571
26, 2.207
27, 2.593
27, 2.48
27, 1.299
27, 2.459
26, 2.496
27, 1.229
25, 1.298
26, 1.317
28, 1.374
25, 2.541
27, 2.535
28, 2.48
27, 1.241
29, 1.231
28, 2.469
28, 2.433
28, 1.86
26, 2.488
27, 2.439
28, 1.862
26, 1.811
29, 2.383
28, 1.27
30, 1.395
27, 2.185
29, 2.476
29, 2.481
29, 2.595
29, 2.428
27, 1.353
28, 2.59
31, 2.496
30, 2.524
30, 1.776
29, 2.45
30, 1.956
30, 2.333
28, 1.562
28, 2.636
29, 2.173
30, 2.701
31, 1.256
31, 1.365
32, 2.503
30, 2.421
31, 2.604
29, 2.557
31, 2.517
29, 1.457
32, 1.388
30, 2.466
32, 2.559
31, 2.426
32, 1.414
33, 2.479
31, 1.947
32, 2.566
30, 2.221
30, 2.514
32, 1.275
33, 2.496
31, 2.477
33, 2.524
33, 2.526
32, 1.753
31, 1.376
34, 2.465
33, 2.404
31, 2.151
32, 1.395
34, 1.227
33, 2.237
34, 2.462
33, 1.478
34, 2.512
32, 2.144
35, 2.557
34, 2.489
34, 1.432
33, 1.58
32, 2.562
35, 2.055
35, 2.439
35, 1.906
34, 2.438
35, 1.547
33, 2.081
36, 2.442
33, 1.243
35, 2.491
34, 2.507
36, 2.006
35, 2.033
36, 2.504
36, 2.517
34, 1.737
36, 2.097
34, 2.452
35, 1.362
37, 2.514
36, 2.493
36, 2.454
37, 2.484
37, 1.239
35, 1.354
37, 2.499
37, 2.49
36, 2.419
35, 2.206
37, 1.455
38, 2.358
37, 1.297
38, 2.522
38, 2.501
38, 1.355
36, 2.445
38, 2.422
38, 2.323
37, 2.345
38, 1.989
36, 2.303
39, 2.067
39, 2.507
39, 2.544
39, 1.222
39, 2.5
37, 2.525
39, 2.06
40, 2.437
37, 1.893
38, 2.467
39, 2.462
40, 2.389
40, 2.414
40, 1.25
40, 2.459
41, 1.216
38, 2.525
40, 2.105
41, 2.372
40, 1.379
38, 2.551
39, 2.483
41, 2.064
41, 1.739
41, 2.386
41, 1.23
42, 2.478
39, 2.522
41, 2.14
42, 1.791
42, 2.488
39, 2.503
42, 2.274
40, 2.464
42, 2.493
42, 1.864
43, 2.474
40, 2.548
41, 1.231
40, 1.234
42, 2.501
43, 2.471
43, 2.181
43, 1.776
43, 1.298
43, 2.493
44, 1.244
41, 1.546
42, 2.171
44, 1.757
41, 2.504
43, 2.604
44, 1.968
44, 2.594
44, 1.735
44, 2.552
42, 1.247
43, 2.021
45, 2.539
