
#GA 4.0.2RePy_LDE - GRAPH 'avg_quality' OPENED, 26.02.22-18:01:45#
0, 50
1, 53
2, 54
3, 57
4, 59
5, 60
6, 61
7, 63
8, 64
9, 65
10, 67
11, 67
12, 68
13, 70
14, 71
15, 73
16, 73
17, 74
18, 75
19, 76
20, 77
21, 78
22, 80
23, 80
24, 82
25, 83
26, 83
27, 84
28, 84
29, 85
30, 86
31, 86
32, 87
33, 87
34, 87
35, 87
36, 88
37, 88
38, 89
39, 89
40, 89
41, 89
42, 89
43, 89
44, 89
45, 90
46, 91
47, 91
48, 91
49, 91
50, 91
51, 92
52, 92
53, 92
54, 92
55, 92
56, 93
57, 93
58, 93
59, 93
60, 93
61, 93
62, 93
63, 93
64, 93
65, 93
66, 94
67, 94
68, 94
69, 94
70, 95
71, 95
72, 95
73, 95
74, 94
75, 94
76, 95
77, 95
78, 95
79, 95
80, 95
81, 95
82, 95
83, 95
84, 95
85, 95
86, 95
87, 95
88, 95
89, 95
90, 95
91, 95
92, 95
93, 95
94, 95
95, 95
96, 94
97, 94
98, 94
99, 94
100, 94
#GA 4.0.2RePy_LDE - GRAPH 'avg_quality' OPENED, 26.02.22-18:16:44#
#GA 4.0.2RePy_LDE - GRAPH 'avg_quality' OPENED, 26.02.22-18:17:24#
#GA 4.0.2RePy_LDE - GRAPH 'avg_quality' OPENED, 26.02.22-18:19:59#
#GA 4.0.2RePy_LDE - GRAPH 'avg_quality' OPENED, 26.02.22-18:31:35#
