
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-18:01:45#
0, 65
1, 65
2, 65
3, 67
4, 67
5, 70
6, 72
7, 72
8, 74
9, 74
10, 74
11, 74
12, 78
13, 79
14, 81
15, 81
16, 81
17, 81
18, 82
19, 83
20, 83
21, 84
22, 87
23, 87
24, 88
25, 88
26, 89
27, 90
28, 90
29, 93
30, 93
31, 93
32, 93
33, 93
34, 93
35, 93
36, 93
37, 93
38, 93
39, 94
40, 94
41, 94
42, 94
43, 94
44, 95
45, 95
46, 97
47, 97
48, 97
49, 97
50, 98
51, 98
52, 98
53, 98
54, 98
55, 98
56, 98
57, 98
58, 98
59, 98
60, 98
61, 98
62, 98
63, 98
64, 98
65, 98
66, 98
67, 98
68, 98
69, 98
70, 100
71, 100
72, 100
73, 100
74, 100
75, 100
76, 100
77, 100
78, 100
79, 100
80, 100
81, 100
82, 100
83, 100
84, 100
85, 100
86, 100
87, 100
88, 100
89, 100
90, 100
91, 100
92, 100
93, 100
94, 100
95, 100
96, 100
97, 100
98, 100
99, 100
100, 100
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-18:16:44#
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-18:17:24#
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-18:19:59#
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-18:31:35#
#GA 4.0.2RePy_LDE - GRAPH 'max_max_quality' OPENED, 26.02.22-18:32:37#
0, 59
1, 62
2, 65
3, 69
4, 70
