
#GA 4.0.2RePy_LDE - GRAPH 'max_quality' OPENED, 26.02.22-18:01:45#
0, 65
1, 64
2, 63
3, 67
4, 67
5, 70
6, 72
7, 71
8, 74
9, 72
10, 73
11, 74
12, 78
13, 79
14, 81
15, 81
16, 80
17, 81
18, 82
19, 83
20, 83
21, 84
22, 87
23, 87
24, 88
25, 87
26, 89
27, 90
28, 90
29, 93
30, 91
31, 91
32, 91
33, 91
34, 93
35, 92
36, 93
37, 93
38, 93
39, 94
40, 94
41, 94
42, 94
43, 94
44, 95
45, 95
46, 97
47, 96
48, 97
49, 97
50, 98
51, 98
52, 97
53, 96
54, 96
55, 97
56, 97
57, 97
58, 97
59, 98
60, 97
61, 97
62, 97
63, 97
64, 97
65, 98
66, 98
67, 98
68, 98
69, 98
70, 100
71, 100
72, 99
73, 99
74, 99
75, 100
76, 99
77, 99
78, 99
79, 99
80, 99
81, 100
82, 100
83, 100
84, 100
85, 99
86, 100
87, 99
88, 99
89, 99
90, 98
91, 98
92, 99
93, 98
94, 98
95, 99
96, 98
97, 98
98, 98
99, 99
100, 99
#GA 4.0.2RePy_LDE - GRAPH 'max_quality' OPENED, 26.02.22-18:16:44#
#GA 4.0.2RePy_LDE - GRAPH 'max_quality' OPENED, 26.02.22-18:17:24#
#GA 4.0.2RePy_LDE - GRAPH 'max_quality' OPENED, 26.02.22-18:19:59#
#GA 4.0.2RePy_LDE - GRAPH 'max_quality' OPENED, 26.02.22-18:31:35#
#GA 4.0.2RePy_LDE - GRAPH 'max_quality' OPENED, 26.02.22-18:32:37#
0, 59
1, 62
2, 65
3, 69
4, 70
