
#GA 4.0.2RePy_LDE - GRAPH 'min_quality' OPENED, 26.02.22-18:01:45#
0, 38
1, 40
2, 47
3, 49
4, 51
5, 53
6, 54
7, 55
8, 56
9, 57
10, 60
11, 58
12, 59
13, 62
14, 63
15, 68
16, 68
17, 68
18, 68
19, 70
20, 72
21, 72
22, 75
23, 73
24, 75
25, 76
26, 78
27, 80
28, 78
29, 79
30, 81
31, 78
32, 82
33, 83
34, 83
35, 81
36, 84
37, 83
38, 84
39, 84
40, 85
41, 84
42, 86
43, 85
44, 82
45, 86
46, 86
47, 86
48, 85
49, 87
50, 86
51, 85
52, 88
53, 88
54, 87
55, 88
56, 87
57, 90
58, 87
59, 88
60, 88
61, 89
62, 90
63, 89
64, 88
65, 88
66, 90
67, 89
68, 90
69, 91
70, 90
71, 90
72, 90
73, 90
74, 89
75, 92
76, 90
77, 87
78, 90
79, 90
80, 92
81, 89
82, 91
83, 91
84, 91
85, 91
86, 90
87, 92
88, 89
89, 90
90, 90
91, 91
92, 90
93, 89
94, 90
95, 91
96, 91
97, 88
98, 90
99, 91
100, 91
