
#GA 4.1.0RePy - GRAPH 'e_quality' OPENED, 09.03.22-18:21:07#
0, 2.86184998217918
1, 1.0775898231200451
2, 1.0775898231200451
3, 0.7079870696368663
4, 0.5336966295248365
5, 0.39143587994217055
6, 0.31220252854913755
7, 0.1517865247881332
8, 0.059366725623465615
9, 0.043542988297505254
10, 0.019692717545333045
11, 0.019692717545333045
12, 0.003372099578702604
13, 0.003372099578702604
14, 0.003372099578702604
15, 0.0027987757625445157
16, 0.0027987757625445157
17, 0.0027987757625445157
18, 0.0020725655954110344
19, 0.0020725655954110344
20, 0.0007348100243757729
21, 8.50430327300923e-05
22, 8.50430327300923e-05
23, 8.50430327300923e-05
24, 8.50430327300923e-05
25, 8.50430327300923e-05
26, 8.50430327300923e-05
27, 8.50430327300923e-05
28, 8.50430327300923e-05
29, 8.50430327300923e-05
30, 8.50430327300923e-05
31, 8.50430327300923e-05
32, 8.50430327300923e-05
33, 8.50430327300923e-05
34, 8.50430327300923e-05
35, 8.50430327300923e-05
36, 8.50430327300923e-05
37, 8.50430327300923e-05
38, 8.50430327300923e-05
39, 8.50430327300923e-05
40, 8.50430327300923e-05
41, 8.50430327300923e-05
42, 8.50430327300923e-05
43, 8.50430327300923e-05
44, 8.50430327300923e-05
45, 8.50430327300923e-05
46, 8.50430327300923e-05
47, 8.50430327300923e-05
48, 8.50430327300923e-05
49, 8.50430327300923e-05
50, 8.50430327300923e-05
51, 8.50430327300923e-05
52, 8.50430327300923e-05
53, 8.50430327300923e-05
54, 8.50430327300923e-05
55, 8.50430327300923e-05
56, 8.50430327300923e-05
57, 8.50430327300923e-05
58, 8.50430327300923e-05
59, 8.50430327300923e-05
60, 8.50430327300923e-05
61, 8.50430327300923e-05
62, 8.50430327300923e-05
63, 8.50430327300923e-05
64, 8.50430327300923e-05
65, 8.50430327300923e-05
66, 8.50430327300923e-05
67, 8.50430327300923e-05
68, 8.50430327300923e-05
69, 8.50430327300923e-05
70, 8.50430327300923e-05
71, 8.50430327300923e-05
72, 8.50430327300923e-05
73, 8.50430327300923e-05
74, 8.50430327300923e-05
75, 8.50430327300923e-05
76, 8.50430327300923e-05
77, 8.50430327300923e-05
78, 8.50430327300923e-05
79, 8.50430327300923e-05
80, 8.50430327300923e-05
81, 8.50430327300923e-05
82, 8.50430327300923e-05
