
#GA 4.0.2RePy_LDE - GRAPH 'avg_quality' OPENED, 26.02.22-17:39:12#
0, 4
1, 4
2, 4
3, 5
4, 6
5, 6
6, 7
7, 6
8, 7
9, 7
10, 7
11, 7
12, 8
13, 8
14, 8
15, 9
16, 8
17, 9
18, 8
19, 8
20, 8
21, 9
22, 9
23, 9
24, 9
25, 9
26, 9
27, 9
28, 9
29, 9
30, 9
31, 9
32, 9
33, 9
34, 9
35, 9
36, 9
37, 9
38, 9
39, 9
40, 9
41, 9
42, 9
43, 9
44, 9
45, 9
46, 8
47, 8
48, 9
49, 8
50, 8
51, 8
52, 8
53, 8
54, 8
55, 9
56, 9
57, 9
58, 9
59, 9
60, 9
61, 9
62, 8
63, 8
64, 9
65, 9
66, 9
67, 8
68, 9
69, 9
70, 9
71, 9
72, 9
73, 9
74, 8
75, 8
76, 8
77, 9
78, 9
79, 9
80, 9
81, 9
82, 9
83, 9
84, 9
85, 9
86, 9
87, 9
88, 9
89, 9
90, 9
91, 9
92, 9
93, 9
94, 8
95, 8
96, 8
97, 9
98, 9
99, 9
100, 9
101, 9
102, 9
103, 9
104, 8
105, 9
106, 9
107, 9
108, 9
109, 9
110, 9
